feature,coefficient
rank,-0.5672315947521329
source_count,0.29895013707965357
keyword_count,0.17096203357322928
description_length,0.1274173317411025
sentiment_score,0.12356701847317984
cat_Chips,-0.1229517804778894
cat_Startups,0.1082381026647571
cat_Policy,0.0781763241404832
sentiment_abs,0.07746924630193612
cat_Apps,-0.06684726326265739
cat_Cybersecurity,-0.06622522424630138
cat_Gadgets,0.06131672388569086
keyword_frequency,-0.05030389755136963
days_seen_before,-0.027615527357416743
cat_Cloud,-0.009190401909797639
cat_AI,0.004399274934538253
hn_points,0.0
cat_Other,0.0
